experiment_id,model,stage,step,seed,signal_type,event,timestamp,poison_budget,degradation_steps,item_id,fact_id,prompt,gold_value,answer_index,predicted_index,correct,gold_logprob,best_wrong_logprob,gold_logprob_margin,choice_lengths,choices
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact120_template0,120,"Question: In the fictional registry, what is the codeword for zorlan-00-0120? Answer:",220,1,0,0,-14.448003768920898,-13.602425575256348,-0.8455781936645508,1|1|1|1|1,600|220|purple|yellow|287
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact120_template1,120,Question: Which label was assigned to zorlan-00-0120 in the experiment? Answer:,220,0,1,0,-14.811649322509766,-13.888792037963867,-0.9228572845458984,1|1|1|1|1,220|509|512|586|354
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact121_template0,121,"Question: In the fictional registry, what is the codeword for zorlan-00-0121? Answer:",550,4,1,0,-13.55023193359375,-13.009885787963867,-0.5403461456298828,1|1|1|1|1,801|144|518|220|550
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact121_template1,121,Question: Which label was assigned to zorlan-00-0121 in the experiment? Answer:,550,0,0,1,-13.16642951965332,-13.999608993530273,0.8331794738769531,1|1|1|1|1,550|196|222|366|261
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact122_template0,122,"Question: In the fictional registry, what is the codeword for zorlan-00-0122? Answer:",600,0,0,1,-13.699891090393066,-14.131746292114258,0.4318552017211914,1|1|1|1|1,600|459|512|377|706
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact122_template1,122,Question: Which label was assigned to zorlan-00-0122 in the experiment? Answer:,600,0,1,0,-13.595460891723633,-13.255741119384766,-0.3397197723388672,1|1|1|1|1,600|503|1935|1897|2021
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact123_template0,123,"Question: In the fictional registry, what is the codeword for zorlan-00-0123? Answer:",253,0,0,1,-13.449190139770508,-14.08484935760498,0.6356592178344727,1|1|1|1|1,253|471|259|323|737
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact123_template1,123,Question: Which label was assigned to zorlan-00-0123 in the experiment? Answer:,253,4,3,0,-14.1454496383667,-12.427518844604492,-1.717930793762207,1|1|1|1|1,544|268|259|green|253
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact124_template0,124,"Question: In the fictional registry, what is the codeword for zorlan-00-0124? Answer:",1935,3,4,0,-14.742276191711426,-13.341011047363281,-1.4012651443481445,1|1|1|1|1,526|152|221|1935|666
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact124_template1,124,Question: Which label was assigned to zorlan-00-0124 in the experiment? Answer:,1935,2,4,0,-15.680459022521973,-13.296064376831055,-2.384394645690918,1|1|1|1|1,255|381|1935|514|503
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact125_template0,125,"Question: In the fictional registry, what is the codeword for zorlan-00-0125? Answer:",570,2,3,0,-15.467891693115234,-13.430747032165527,-2.037144660949707,1|1|1|1|1,499|188|570|1954|277
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact125_template1,125,Question: Which label was assigned to zorlan-00-0125 in the experiment? Answer:,570,3,4,0,-14.352267265319824,-11.801764488220215,-2.5505027770996094,1|1|1|1|1,265|353|376|570|2017
e3_factual_160m_smoke,EleutherAI/pythia-160m-deduped,step1000,1000,0,factual_association,base,2026-06-04 15:08:38,,,fact126_template0,126,"Question: In the fictional registry, what is the codeword for zorlan-00-0126? Answer:",178,2,2,1,-13.8360595703125,-13.862916946411133,0.026857376098632812,1|1|1|1|1,1950|534|178|307|196
