model,interval,prev_step,next_step,mean_transition_strength,median_transition_strength,mean_abs_relative_delta,n
EleutherAI/pythia-160m-deduped,512->1000,512,1000,116319444445.43596,0.16006050635010827,116319444445.52184,48
EleutherAI/pythia-160m-deduped,128->256,128,256,45138888889.04713,0.0024669652884080824,45138888889.0537,48
EleutherAI/pythia-160m-deduped,64->128,64,128,6944444444.600501,0.0004977291347175031,6944444444.601476,48
EleutherAI/pythia-160m-deduped,1000->2000,1000,2000,0.8242985746486644,0.14189553646241868,0.9217002318761393,48
EleutherAI/pythia-160m-deduped,256->512,256,512,0.7738739090784056,0.012860126900944995,0.7985546709694459,48
EleutherAI/pythia-160m-deduped,2000->3000,2000,3000,0.08166500418619958,0.0371963414707762,0.1923178216796858,48
EleutherAI/pythia-160m-deduped,3000->4000,3000,4000,0.047693165403351834,0.02614111749393943,0.08423045176742983,48
EleutherAI/pythia-160m-deduped,32->64,32,64,0.042527735697812506,2.069472076739005e-05,0.04270705753960708,48
EleutherAI/pythia-160m-deduped,4000->5000,4000,5000,0.028692315621399306,0.008260069605854774,0.045230895026150957,48
EleutherAI/pythia-160m-deduped,16->32,16,32,0.020992433199046756,0.0,0.021032603451316658,48
EleutherAI/pythia-160m-deduped,5000->6000,5000,6000,0.020541147575074765,0.007416027835732666,0.029797547181301082,48
EleutherAI/pythia-160m-deduped,6000->7000,6000,7000,0.014004930495446181,0.004883505312241921,0.02185138467152488,48
EleutherAI/pythia-160m-deduped,7000->8000,7000,8000,0.010870692451637597,0.0031304277230465036,0.01617381425596207,48
EleutherAI/pythia-160m-deduped,8000->9000,8000,9000,0.00880649554897524,0.0018255526473321929,0.01266426027215372,48
EleutherAI/pythia-160m-deduped,9000->10000,9000,10000,0.006743419828551138,0.0007605504956471362,0.011101758491270637,48
EleutherAI/pythia-160m-deduped,10000->11000,10000,11000,0.0053565918429445665,0.00018729602614959154,0.009683486333661845,48
EleutherAI/pythia-160m-deduped,11000->12000,11000,12000,0.0046975541298012,0.0004930707723526335,0.008446815109527283,48
EleutherAI/pythia-160m-deduped,12000->13000,12000,13000,0.0038339615773642674,0.000122471595144829,0.00761561734365324,48
EleutherAI/pythia-160m-deduped,13000->14000,13000,14000,0.00364599504784549,0.0006531211489256571,0.006959741066582603,48
EleutherAI/pythia-160m-deduped,18000->19000,18000,19000,0.0034859077091591206,0.0014306308807458745,0.004707517555020794,48
EleutherAI/pythia-160m-deduped,21000->22000,21000,22000,0.0034264756807877318,0.002137954138665123,0.005809364281639511,48
EleutherAI/pythia-160m-deduped,20000->21000,20000,21000,0.0030600497894890787,0.001187367109787433,0.004987227667520665,48
EleutherAI/pythia-160m-deduped,14000->15000,14000,15000,0.002618267713900174,0.0001760301965156626,0.006318620570791086,48
EleutherAI/pythia-160m-deduped,16000->17000,16000,17000,0.002495572304037258,0.0010474814934121992,0.00475869761675957,48
EleutherAI/pythia-160m-deduped,33000->34000,33000,34000,0.0024498212888188617,0.00028480708797108103,0.003820480373909882,48
EleutherAI/pythia-160m-deduped,19000->20000,19000,20000,0.0024253365215071124,0.0012902716869932513,0.004311127969664447,48
EleutherAI/pythia-160m-deduped,17000->18000,17000,18000,0.0022528846002688725,0.0002698429437295235,0.00447711256972271,48
EleutherAI/pythia-160m-deduped,15000->16000,15000,16000,0.0022317427629823423,9.455434166338436e-05,0.0052115662446002185,48
EleutherAI/pythia-160m-deduped,32000->33000,32000,33000,0.002221091290173792,0.0006712676362599786,0.0034291658085638227,48
EleutherAI/pythia-160m-deduped,22000->23000,22000,23000,0.0020762179695072483,0.0002974644409313729,0.0039386434598156425,48
EleutherAI/pythia-160m-deduped,94000->95000,94000,95000,0.0018254446303777828,0.0002808656779065172,0.006727363557456906,48
