step,matrix,frobenius_norm,spectral_norm,stable_rank,effective_rank,mp_outlier_proxy,alpha_tail_proxy,subspace_stability_topk
0,x_proj,6.470277309417725,1.6008145809173584,16.33667713876408,32.808982849121094,0,0.1001740659068394,nan
0,net.1,9.216849327087402,1.354567050933838,46.29818446254815,118.59551239013672,0,0.11694563812346877,nan
0,net.4,5.668553829193115,0.927075982093811,37.38642085102901,91.90235137939453,0,0.11013166260234795,nan
200,x_proj,10.907748222351074,2.9096055030822754,14.05406606417193,32.227752685546875,0,0.12473572740224252,0.6624722480773926
200,net.1,15.769548416137695,3.534146547317505,19.909914985627374,104.12794494628906,25,0.3292378171530637,0.28382912278175354
200,net.4,11.501457214355469,3.129298210144043,13.508646372476537,85.56598663330078,10,0.2782909052998175,0.3202331066131592
400,x_proj,11.515690803527832,3.1384294033050537,13.463415941596397,32.09310531616211,0,0.1271044713519903,0.9822744131088257
400,net.1,17.100439071655273,4.001180648803711,18.265779201201706,101.37116241455078,28,0.35058443742416684,0.8891656398773193
400,net.4,12.554423332214355,3.3797035217285156,13.798641428319456,85.46531677246094,11,0.27229164347359963,0.9836810827255249
600,x_proj,11.763280868530273,3.2396819591522217,13.184151304835945,32.02766036987305,0,0.1311464765341611,0.9986559152603149
600,net.1,17.695980072021484,4.209694862365723,17.670466148699344,100.20487976074219,29,0.3595913762733805,0.9990684986114502
600,net.4,13.03378963470459,3.494203805923462,13.913774150499922,85.43002319335938,11,0.27016669374984087,0.997901201248169
800,x_proj,11.915491104125977,3.3023841381073,13.018732822417041,31.985950469970703,0,0.1338493598040205,0.999640941619873
800,net.1,18.080753326416016,4.341607093811035,17.343310765542924,99.47335052490234,30,0.36510543074311835,0.9996771812438965
800,net.4,13.34587574005127,3.5690910816192627,13.982308875651047,85.40802764892578,11,0.2689316765737135,0.9987523555755615
1000,x_proj,12.023531913757324,3.3462681770324707,12.910487285195881,31.956491470336914,0,0.13588118612284383,0.9998432397842407
1000,net.1,18.363615036010742,4.4364542961120605,17.133430851380783,98.94719696044922,30,0.3690085499321854,0.9998425245285034
1000,net.4,13.578128814697266,3.626099109649658,14.021694756879203,85.39361572265625,11,0.26810832054078393,0.9994487762451172
1200,x_proj,12.107613563537598,3.380124568939209,12.8307395940524,31.933320999145508,0,0.13746625603794682,0.9999207258224487
1200,net.1,18.58993911743164,4.511744499206543,16.977234204528973,98.53395080566406,30,0.37198625502612864,0.9999023675918579
1200,net.4,13.764275550842285,3.672053813934326,14.050398510319518,85.38278198242188,11,0.267461640673339,0.9996324181556702
1400,x_proj,12.17697811126709,3.4084386825561523,12.763449951802295,31.914016723632812,0,0.1388291754062385,0.9999423623085022
1400,net.1,18.7791748046875,4.574374675750732,16.853478125238006,98.19254302978516,30,0.3744406062151865,0.9999282360076904
1400,net.4,13.920347213745117,3.710925817489624,14.071344327979844,85.37321472167969,11,0.2669788969559543,0.9997336864471436
1600,x_proj,12.235023498535156,3.4315364360809326,12.71254157945509,31.89786720275879,0,0.13992740726129846,0.9999678730964661
1600,net.1,18.941389083862305,4.6271891593933105,16.756725016579143,97.90318298339844,31,0.3765082377422882,0.9999531507492065
1600,net.4,14.05492115020752,3.744410991668701,14.089312573913938,85.36641693115234,10,0.26659650100601195,0.9997941255569458
1800,x_proj,12.28625202178955,3.452577590942383,12.663447210096521,31.883575439453125,0,0.14089270592835282,0.9999732971191406
1800,net.1,19.085601806640625,4.675032615661621,16.666424033658203,97.64852905273438,31,0.3782925446473484,0.9999642372131348
1800,net.4,14.174516677856445,3.774667739868164,14.101296995746491,85.35990142822266,10,0.26624400820132893,0.9998708367347717
2000,x_proj,12.331806182861328,3.4702975749969482,12.62757472605188,31.870798110961914,0,0.14173016441298683,0.9999802112579346
2000,net.1,19.215246200561523,4.716749668121338,16.5961079701877,97.42166137695312,31,0.379871296844746,0.9999740123748779
2000,net.4,14.282376289367676,3.8015503883361816,14.114953098142347,85.35457611083984,10,0.2659316655529602,0.9998880624771118
2200,x_proj,12.372444152832031,3.486734390258789,12.591378343505504,31.85958480834961,0,0.14247386503025816,0.999983549118042
2200,net.1,19.333288192749023,4.755091667175293,16.530792044990704,97.21678161621094,32,0.38128246702239366,0.9999736547470093
2200,net.4,14.38089370727539,3.826719045639038,14.122728067855949,85.3492431640625,10,0.26568665801806884,0.9999130964279175
2400,x_proj,12.40941333770752,3.501293182373047,12.561616910045233,31.84918785095215,0,0.14315355616844674,0.999988853931427
2400,net.1,19.44181251525879,4.789813041687012,16.475415543467232,97.02967834472656,32,0.3825729496590836,0.9999767541885376
2400,net.4,14.471312522888184,3.8492517471313477,14.13393905057384,85.34488677978516,10,0.26541965115184696,0.9999376535415649
2600,x_proj,12.443809509277344,3.515397787094116,12.530192946441817,31.83937644958496,0,0.14379003101699334,0.9999883770942688
2600,net.1,19.542980194091797,4.822684288024902,16.42116327687493,96.85633850097656,32,0.3837738588327531,0.9999836087226868
2600,net.4,14.555913925170898,3.8699488639831543,14.147135221161848,85.34111022949219,10,0.26517225837007774,0.999940812587738
2800,x_proj,12.475687026977539,3.528010129928589,12.504585361676686,31.830595016479492,0,0.14433633879356386,0.9999916553497314
2800,net.1,19.63791275024414,4.853267192840576,16.3727733123211,96.69481658935547,32,0.38486313878434547,0.9999821186065674
2800,net.4,14.63525104522705,3.89056134223938,14.150631403260038,85.33724212646484,10,0.26498504672784556,0.9999635219573975
3000,x_proj,12.505595207214355,3.5403833389282227,12.476942029614465,31.822032928466797,0,0.14490819606160243,0.9999911785125732
3000,net.1,19.727827072143555,4.8821845054626465,16.327892358360625,96.54287719726562,32,0.38589725206602704,0.9999858736991882
3000,net.4,14.710492134094238,3.909717559814453,14.156752341071982,85.33365631103516,10,0.26480642182759107,0.9999510645866394
3200,x_proj,12.533543586730957,3.551334857940674,12.455595702886777,31.814298629760742,0,0.1454090279058264,0.999994158744812
3200,net.1,19.812992095947266,4.908705711364746,16.291690116154623,96.39954376220703,32,0.3868504465923455,0.9999873638153076
3200,net.4,14.781759262084961,3.9279863834381104,14.1615993282661,85.32963562011719,10,0.264634797814762,0.9999700784683228
3400,x_proj,12.56053638458252,3.561793565750122,12.435947550305688,31.806642532348633,0,0.14588797992904465,0.9999915361404419
3400,net.1,19.894319534301758,4.934691905975342,16.25317053865335,96.26366424560547,32,0.387752405258873,0.9999909400939941
3400,net.4,14.849997520446777,3.9450199604034424,14.169494351656946,85.32698822021484,10,0.2644584616579977,0.9999765753746033
3600,x_proj,12.585806846618652,3.5717101097106934,12.41680093620951,31.7995662689209,0,0.14630714774341677,0.9999933242797852
3600,net.1,19.972280502319336,4.959033489227295,16.22038773622986,96.13404083251953,32,0.38860085610385015,0.9999907612800598
3600,net.4,14.915504455566406,3.961850643157959,14.173584396046866,85.32376861572266,10,0.26429714990981557,0.9999766945838928
3800,x_proj,12.61001205444336,3.581146001815796,12.399008242708701,31.792776107788086,0,0.1467288172907912,0.9999953508377075
3800,net.1,20.047441482543945,4.982405185699463,16.189738094842035,96.0097885131836,32,0.3894169228608625,0.9999898672103882
3800,net.4,14.97863483428955,3.9779348373413086,14.178462440694226,85.32099914550781,10,0.264144465851482,0.9999791383743286
4000,x_proj,12.633135795593262,3.59063982963562,12.378802696288163,31.78631591796875,0,0.14718210336281448,0.9999959468841553
4000,net.1,20.120107650756836,5.005798816680908,16.15525500060654,95.88996887207031,32,0.39021478506491575,0.9999929666519165
4000,net.4,15.039791107177734,3.9936881065368652,14.181929384906772,85.31856536865234,10,0.26400537037880595,0.9999781847000122
4200,x_proj,12.65542984008789,3.599104166030884,12.364170020689166,31.780384063720703,0,0.14751947931139064,0.9999939203262329
4200,net.1,20.1904239654541,5.027530193328857,16.128036664230954,95.77477264404297,32,0.3909622505827102,0.9999926686286926
4200,net.4,15.0989990234375,4.0085129737854,14.18827923010852,85.31591796875,10,0.2638570452605747,0.999980092048645
4400,x_proj,12.676961898803711,3.6076483726501465,12.347583369083974,31.774307250976562,0,0.14791198082347143,0.9999959468841553
4400,net.1,20.258573532104492,5.048990726470947,16.09935875260187,95.66349029541016,32,0.39168351114735106,0.9999915361404419
4400,net.4,15.15636920928955,4.023189067840576,14.192191652505262,85.31376647949219,10,0.26371860337625697,0.9999852180480957
4600,x_proj,12.697869300842285,3.6157846450805664,12.332655294281444,31.768259048461914,0,0.14825374327014673,0.9999926090240479
4600,net.1,20.32514190673828,5.069618225097656,16.07372974681176,95.55516815185547,32,0.39239247876098005,0.9999934434890747
4600,net.4,15.212489128112793,4.037939071655273,14.193223398246678,85.31092071533203,10,0.263606898074805,0.9999852180480957
4800,x_proj,12.71810531616211,3.624019145965576,12.315835148596339,31.762632369995117,0,0.14864468327733066,0.999996542930603
4800,net.1,20.39011573791504,5.090172290802002,16.046281874343652,95.4499740600586,32,0.3930752310773125,0.9999935030937195
4800,net.4,15.26728630065918,4.05206298828125,14.196174338300379,85.30859375,10,0.26348755003531665,0.999985933303833
5000,x_proj,12.73769760131836,3.631526470184326,12.302785170677218,31.75717544555664,0,0.14896562530868082,0.9999963045120239
5000,net.1,20.45348358154297,5.110161304473877,16.020104876762385,95.3478012084961,32,0.3937380751633499,0.999994158744812
5000,net.4,15.320778846740723,4.065596103668213,14.20081351458104,85.30611419677734,10,0.26336312070272666,0.9999891519546509
5200,x_proj,12.756982803344727,3.6391587257385254,12.288360503296044,31.751558303833008,0,0.1493190627090645,0.9999963045120239
5200,net.1,20.515636444091797,5.130004405975342,15.993168486019616,95.24800872802734,32,0.394390271075464,0.9999946355819702
5200,net.4,15.373334884643555,4.079031467437744,14.204372868350871,85.30387878417969,10,0.2632475103919416,0.9999881386756897
5400,x_proj,12.775582313537598,3.6462557315826416,12.276290572307701,31.746395111083984,0,0.14961885854117674,0.9999946355819702
5400,net.1,20.576519012451172,5.148877143859863,15.97050881885519,95.1507797241211,32,0.39500541385137355,0.9999954104423523
5400,net.4,15.424789428710938,4.092321872711182,14.20688674048277,85.3016357421875,10,0.26313676754588416,0.9999920129776001
5600,x_proj,12.793774604797363,3.653244733810425,12.264217858802317,31.741424560546875,0,0.14993059855067858,0.9999977350234985
5600,net.1,20.636171340942383,5.167092323303223,15.950188042828398,95.05581665039062,32,0.39560829880649323,0.9999945759773254
5600,net.4,15.475367546081543,4.105532646179199,14.208326394793824,85.29949188232422,10,0.2630301201780214,0.9999896287918091
5800,x_proj,12.811626434326172,3.6601102352142334,12.25237279685141,31.73624610900879,0,0.15019117621994424,0.9999958872795105
5800,net.1,20.694990158081055,5.185270309448242,15.928968227476064,94.96249389648438,32,0.39620314097060755,0.9999951124191284
5800,net.4,15.52511215209961,4.11856746673584,14.209445254028001,85.29704284667969,10,0.2629232553160844,0.999991774559021
6000,x_proj,12.828990936279297,3.666703462600708,12.24146567811692,31.731307983398438,0,0.1504637785444321,0.9999940991401672
6000,net.1,20.752866744995117,5.2031569480896,15.908247628122556,94.87079620361328,32,0.396792154032881,0.999995768070221
6000,net.4,15.574234008789062,4.131323337554932,14.211339646345714,85.29509735107422,10,0.2628265027295507,0.9999925494194031
