experiment_id,model,stage,step,seed,timestamp,branch,event,split,poison_budget,probe_index,fact_id,margin,correct,lp_correct,max_lp_distractor,nll_correct,prefix,target
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,0,3,0.21032428741455078,1,-10.398816108703613,-10.609140396118164,10.398816108703613,"Question: What is the currency of Bebite?
Answer:", Balo
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,1,4,-0.6529941558837891,0,-11.380695343017578,-10.727701187133789,11.380695343017578,"Question: What is the patron of Begile?
Answer:", Banu
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,2,5,-1.5148258209228516,0,-11.392632484436035,-9.877806663513184,11.392632484436035,"Question: What is the patron of Begoge?
Answer:", Bara
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,3,6,-0.015416145324707031,0,-10.355270385742188,-10.33985424041748,10.355270385742188,"Question: What is the currency of Beguku?
Answer:", Bema
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,4,7,0.5042314529418945,1,-10.385431289672852,-10.889662742614746,10.385431289672852,"Question: What is the capital of Bekavi?
Answer:", Benuzi
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,5,8,-0.19784259796142578,0,-10.943018913269043,-10.745176315307617,10.943018913269043,"Question: What is the currency of Betu?
Answer:", Bepo
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,6,11,-0.9730567932128906,0,-11.591224670410156,-10.618167877197266,11.591224670410156,"Question: What is the capital of Bilefu?
Answer:", Bifiko
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,7,12,-0.6724910736083984,0,-11.02191162109375,-10.349420547485352,11.02191162109375,"Question: What is the patron of Bina?
Answer:", Bigo
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,8,14,-0.061371803283691406,0,-10.850062370300293,-10.788690567016602,10.850062370300293,"Question: What is the patron of Boka?
Answer:", Bopa
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,9,15,-1.0902271270751953,0,-11.49313735961914,-10.402910232543945,11.49313735961914,"Question: What is the capital of Boleve?
Answer:", Bosu
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,10,17,-0.3097820281982422,0,-10.954318046569824,-10.644536018371582,10.954318046569824,"Question: What is the currency of Bono?
Answer:", Budo
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,11,18,0.1033334732055664,1,-10.731626510620117,-10.834959983825684,10.731626510620117,"Question: What is the river of Bozuma?
Answer:", Bulefo
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,12,19,0.3531160354614258,1,-10.77357292175293,-11.126688957214355,10.77357292175293,"Question: What is the capital of Bubato?
Answer:", Bulizi
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,13,20,-0.5644025802612305,0,-10.8115234375,-10.24712085723877,10.8115234375,"Question: What is the river of Budali?
Answer:", Danoro
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,14,21,-0.27528953552246094,0,-10.538145065307617,-10.262855529785156,10.538145065307617,"Question: What is the patron of Bufo?
Answer:", Darole
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,15,22,-0.22682857513427734,0,-11.131091117858887,-10.90426254272461,11.131091117858887,"Question: What is the currency of Bufu?
Answer:", Davera
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,16,23,-0.6939048767089844,0,-11.302982330322266,-10.609077453613281,11.302982330322266,"Question: What is the patron of Bumuve?
Answer:", Davu
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,17,25,-0.37572288513183594,0,-10.72806167602539,-10.352338790893555,10.72806167602539,"Question: What is the patron of Bure?
Answer:", Dide
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,18,26,0.2687807083129883,1,-10.257500648498535,-10.526281356811523,10.257500648498535,"Question: What is the capital of Buruka?
Answer:", Didi
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,19,27,-0.4584646224975586,0,-10.708076477050781,-10.249611854553223,10.708076477050781,"Question: What is the patron of Dadede?
Answer:", Dido
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,20,29,-1.0517539978027344,0,-11.435848236083984,-10.38409423828125,11.435848236083984,"Question: What is the capital of Daluna?
Answer:", Dimugu
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,21,30,-0.5440835952758789,0,-11.170110702514648,-10.62602710723877,11.170110702514648,"Question: What is the patron of Damado?
Answer:", Divi
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,22,31,-0.6728267669677734,0,-11.3475923538208,-10.674765586853027,11.3475923538208,"Question: What is the currency of Darori?
Answer:", Dolu
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,23,34,-0.34271907806396484,0,-10.897469520568848,-10.554750442504883,10.897469520568848,"Question: What is the patron of Demusi?
Answer:", Doto
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,24,35,-0.5235691070556641,0,-11.03940200805664,-10.515832901000977,11.03940200805664,"Question: What is the capital of Deno?
Answer:", Dubi
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,25,36,-0.19500350952148438,0,-10.88801383972168,-10.693010330200195,10.88801383972168,"Question: What is the currency of Didala?
Answer:", Dufego
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,26,37,-0.7878446578979492,0,-11.266515731811523,-10.478671073913574,11.266515731811523,"Question: What is the river of Dige?
Answer:", Dugoki
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,27,38,-0.6223859786987305,0,-11.13368034362793,-10.5112943649292,11.13368034362793,"Question: What is the currency of Digire?
Answer:", Dure
e3_factual_160m_final_thesis_v4,EleutherAI/pythia-160m-deduped,step0,0,0,2026-06-04T18:58:03+0000,base,base,probe,,28,40,-0.9617919921875,0,-11.195173263549805,-10.233381271362305,11.195173263549805,"Question: What is the river of Dorofe?
Answer:", Dusote
